K,Asset,Cluster,ERP_z,Term_z,Credit_z,Inflation_z,Liquidity_z
3,US Large Cap Equity,2,1.153,-0.529,-0.443,-0.458,-0.192
3,US Mid Cap Equity,2,1.174,-0.672,-0.304,-0.19,0.407
3,US Small Cap Equity,2,1.666,-1.037,-0.531,-0.853,-0.317
3,Emerging Market Equity,3,0.669,0.073,1.27,0.491,-1.452
3,Long Duration Treasury,1,-1.014,2.582,-0.834,-0.867,-0.221
3,TIPS,1,-1.027,0.65,-0.819,0.511,-0.193
3,Investment Grade Credit,1,-0.436,0.839,-0.687,-0.546,0.054
3,REITs,3,1.321,0.503,2.588,-1.859,-2.023
3,Commodities,1,-1.034,-1.56,0.981,2.06,0.865
3,High Yield Credit,1,-0.578,0.183,0.46,0.065,2.197
3,Hedge Funds,1,-0.456,-0.499,-0.677,-0.192,0.072
3,Private Equity,1,-0.269,-0.644,-0.231,0.198,0.906
3,Private Real Estate,1,-1.17,0.11,-0.771,1.641,-0.104
4,US Large Cap Equity,3,1.153,-0.529,-0.443,-0.458,-0.192
4,US Mid Cap Equity,3,1.174,-0.672,-0.304,-0.19,0.407
4,US Small Cap Equity,3,1.666,-1.037,-0.531,-0.853,-0.317
4,Emerging Market Equity,4,0.669,0.073,1.27,0.491,-1.452
4,Long Duration Treasury,1,-1.014,2.582,-0.834,-0.867,-0.221
4,TIPS,1,-1.027,0.65,-0.819,0.511,-0.193
4,Investment Grade Credit,1,-0.436,0.839,-0.687,-0.546,0.054
4,REITs,4,1.321,0.503,2.588,-1.859,-2.023
4,Commodities,2,-1.034,-1.56,0.981,2.06,0.865
4,High Yield Credit,1,-0.578,0.183,0.46,0.065,2.197
4,Hedge Funds,1,-0.456,-0.499,-0.677,-0.192,0.072
4,Private Equity,1,-0.269,-0.644,-0.231,0.198,0.906
4,Private Real Estate,1,-1.17,0.11,-0.771,1.641,-0.104
5,US Large Cap Equity,4,1.153,-0.529,-0.443,-0.458,-0.192
5,US Mid Cap Equity,4,1.174,-0.672,-0.304,-0.19,0.407
5,US Small Cap Equity,4,1.666,-1.037,-0.531,-0.853,-0.317
5,Emerging Market Equity,5,0.669,0.073,1.27,0.491,-1.452
5,Long Duration Treasury,2,-1.014,2.582,-0.834,-0.867,-0.221
5,TIPS,1,-1.027,0.65,-0.819,0.511,-0.193
5,Investment Grade Credit,1,-0.436,0.839,-0.687,-0.546,0.054
5,REITs,5,1.321,0.503,2.588,-1.859,-2.023
5,Commodities,3,-1.034,-1.56,0.981,2.06,0.865
5,High Yield Credit,1,-0.578,0.183,0.46,0.065,2.197
5,Hedge Funds,1,-0.456,-0.499,-0.677,-0.192,0.072
5,Private Equity,1,-0.269,-0.644,-0.231,0.198,0.906
5,Private Real Estate,1,-1.17,0.11,-0.771,1.641,-0.104
