,equal_weight,60_40,mvo,risk_parity,enhanced_hrp
2004-12-31,0.092332,0.091437,0.11847,0.066974,0.047343
2005-03-31,-0.002951,-0.016979,-0.025397,0.001129,-0.001342
2005-06-30,0.047194,0.05948,0.079341,0.047094,0.033029
2005-09-30,0.06552,0.037963,0.047762,0.039519,0.022716
2005-12-31,0.025367,0.016606,0.04859,0.021743,0.014012
2006-03-31,0.041431,0.054282,0.0255,0.013625,0.013237
2006-06-30,-0.000646,-0.023278,-0.000755,0.001618,0.002338
2006-09-30,0.023434,0.040372,0.054524,0.030991,0.029546
2006-12-31,0.047294,0.062672,0.047604,0.028711,0.023862
2007-03-31,0.076341,0.024763,0.075073,0.065341,0.036088
2007-06-30,-0.003183,0.018394,-0.008109,-0.010438,0.006294
2007-09-30,0.038658,0.031855,0.042953,0.040362,0.031654
2007-12-31,-0.001165,-0.008666,0.009706,0.018491,0.026191
2008-03-31,-0.01628,-0.029552,-0.011323,0.003823,0.008854
2008-06-30,0.023789,-0.002711,-0.00677,0.014214,0.011999
2008-09-30,-0.09502,-0.062918,-0.04642,-0.072452,-0.065376
2008-12-31,-0.17836,-0.113477,-0.101214,-0.070831,-0.046321
2009-03-31,-0.049077,-0.096712,-0.046803,-0.032904,0.004059
2009-06-30,0.125366,0.141857,0.118429,0.065939,0.078755
2009-09-30,0.1189,0.154338,0.116364,0.085447,0.073026
2009-12-31,0.02228,0.029824,0.013849,0.002139,0.020311
2010-03-31,0.040715,0.046046,0.039234,0.027627,0.022503
2010-06-30,-0.012566,-0.023318,0.034323,0.025912,0.017723
2010-09-30,0.079972,0.099522,0.076357,0.060054,0.049809
2010-12-31,0.07114,0.050412,0.034123,0.032459,0.021806
2011-03-31,0.037969,0.039317,0.020243,0.023605,0.022515
2011-06-30,0.00576,0.012441,0.022534,0.014018,0.016738
2011-09-30,-0.068598,-0.068058,0.013943,0.010788,0.000956
2011-12-31,0.062512,0.085604,0.021008,0.040883,0.033521
2012-03-31,0.067436,0.069716,0.044112,0.03408,0.031397
2012-06-30,-0.000105,0.004982,0.066336,0.023626,0.018149
2012-09-30,0.032659,0.03565,-0.006507,0.025782,0.02855
2012-12-31,0.023401,0.018243,0.032734,0.014318,0.013609
2013-03-31,0.043885,0.044624,0.029586,0.024691,0.018232
2013-06-30,-0.019658,-0.028801,-0.017374,-0.029364,-0.034022
2013-09-30,0.033352,0.031809,0.015335,0.018705,0.017659
2013-12-31,0.037804,0.029975,0.026463,0.021073,0.014205
2014-03-31,0.027345,0.034078,0.040739,0.031987,0.024385
2014-06-30,0.04198,0.044949,0.049589,0.039769,0.032712
2014-09-30,-0.02031,-0.021531,0.002026,-0.007966,-0.009993
2014-12-31,0.015877,0.051554,0.040591,0.020607,0.008418
2015-03-31,0.021871,0.032481,0.038083,0.023464,0.023402
2015-06-30,-0.005832,-0.034121,-0.026157,-0.016583,-0.010864
2015-09-30,-0.051962,-0.044248,-0.017048,-0.024457,-0.021916
2015-12-31,0.002012,0.01757,0.00234,-0.003913,-0.004536
2016-03-31,0.028143,0.043419,0.051137,0.03614,0.031901
2016-06-30,0.045724,0.039795,0.058923,0.044779,0.033186
2016-09-30,0.028005,0.032249,0.025888,0.019748,0.023161
2016-12-31,0.005488,-0.011338,-0.029785,-0.017757,-0.010829
2017-03-31,0.02583,0.035872,0.031206,0.020626,0.020147
2017-06-30,0.020358,0.026732,0.033432,0.020376,0.012642
2017-09-30,0.033158,0.03075,0.022012,0.024051,0.018665
2017-12-31,0.035993,0.0353,0.027397,0.029029,0.020064
2018-03-31,0.000206,-0.018896,-0.001182,-0.004072,-0.006877
2018-06-30,0.020671,0.01785,0.012445,0.013763,0.00837
2018-09-30,0.017749,0.012259,0.013059,0.007662,0.005491
2018-12-31,-0.076982,-0.074361,-0.028469,-0.041949,-0.030937
2019-03-31,0.079548,0.10286,0.039437,0.059929,0.050722
2019-06-30,0.028988,0.031895,0.048529,0.034193,0.03105
2019-09-30,0.007508,0.018945,0.026573,0.019494,0.014379
2019-12-31,0.045482,0.04222,0.014813,0.024011,0.019674
2020-03-31,-0.155953,-0.128021,-0.062688,-0.067751,-0.053888
2020-06-30,0.131924,0.142558,0.106181,0.093828,0.083232
2020-09-30,0.057993,0.040926,0.074631,0.045124,0.0383
2020-12-31,0.108417,0.120858,0.052649,0.066516,0.055843
2021-03-31,0.043544,0.025266,-0.001897,0.004887,0.005344
2021-06-30,0.068949,0.056051,0.091208,0.062243,0.042361
2021-09-30,0.003138,-0.015359,0.005688,0.008477,0.008373
2021-12-31,0.040127,0.045663,0.040578,0.031947,0.020062
2022-03-31,-0.021424,-0.067029,-0.055966,-0.032401,-0.033261
2022-06-30,-0.098895,-0.126571,-0.10832,-0.090387,-0.076439
2022-09-30,-0.050022,-0.068872,-0.049576,-0.051196,-0.035497
2022-12-31,0.039291,0.051949,0.026633,0.023939,0.025819
2023-03-31,0.030409,0.044061,0.040028,0.036529,0.034313
2023-06-30,0.013776,0.018889,0.005177,0.00288,0.002412
2023-09-30,-0.025507,-0.057791,-0.053195,-0.036358,-0.021808
2023-12-31,0.06975,0.112989,0.091576,0.068547,0.061425
2024-03-31,0.033598,0.023915,-0.001829,0.018577,0.016538
2024-06-30,-0.001164,-0.003942,-0.000968,-0.002296,0.003246
2024-09-30,0.054263,0.081807,0.070701,0.050161,0.044901
2024-12-31,-0.015709,-0.036831,-0.037883,-0.025573,-0.017098
